9936,9,64,48,True
9984,11,67,48,True
10032,11,67,48,True
10080,9,64,48,True
10128,8,62,48,True
10176,9,64,48,True
10224,2,52,48,True
10272,5,57,48,True
10320,2,52,48,True
10368,5,57,48,True
10416,9,64,48,True
10464,5,57,48,True
10512,9,64,48,True
10560,8,62,48,True
10608,9,64,48,True
10656,4,55,48,True
10704,1,50,48,True
10752,0,48,48,True
10800,2,52,48,True
10848,5,57,48,True
10896,6,59,48,True
10944,7,60,48,True
10992,9,64,48,True
11040,9,64,48,True
11088,11,67,48,True
11136,12,69,48,True
11184,12,69,48,True
11232,11,67,48,True
11280,12,69,48,True
11328,8,62,48,True
11376,1,50,48,True
11424,4,55,48,True
11472,1,50,48,True
11520,11,67,48,True
11568,11,67,48,True
11616,9,64,48,True
11664,11,67,48,True
11712,5,57,48,True
11760,2,52,48,True
11808,5,57,48,True
11856,2,52,48,True
11904,5,57,48,True
11952,9,64,48,True
12000,5,57,48,True
12048,9,64,48,True
12096,8,62,48,True
12144,9,64,48,True
12192,11,67,48,True
12240,8,62,48,True
12288,5,57,48,True
12336,2,52,48,True
12384,5,57,48,True
12432,6,59,48,True
12480,7,60,48,True
12528,9,64,48,True
12576,12,69,48,True
12624,13,71,48,True
12672,14,72,48,True
12720,0,48,48,True
12768,9,64,48,True
12816,14,72,48,True
12864,13,71,48,True
12912,1,50,48,True
12960,8,62,48,True
13008,13,71,48,True
13056,12,69,48,True
13104,3,53,48,True
13152,0,48,48,True
13200,0,48,48,True
13248,0,48,48,True
13296,8,62,48,True
13344,9,64,48,True
13392,11,67,48,True
13440,14,72,48,True
13488,0,48,48,True
13536,3,53,48,True
13584,0,48,48,True
13632,2,52,48,True
13680,2,52,48,True
13728,4,55,48,True
13776,1,50,48,True
13824,0,48,48,True
13872,2,52,48,True
13920,5,57,48,True
13968,11,67,48,True
14016,12,69,48,True
14064,13,71,48,True
14112,14,72,48,True
14160,14,72,48,True
14208,11,67,48,True
14256,0,48,48,True
14304,3,53,48,True
14352,0,48,48,True
14400,2,52,48,True
14448,2,52,48,True
14496,4,55,48,True
14544,10,65,48,True
14592,11,67,48,True
14640,12,69,48,True
14688,14,72,48,True
14736,11,67,48,True
14784,12,69,48,True
14832,3,53,48,True
14880,5,57,48,True
14928,2,52,48,True
14976,1,50,48,True
15024,1,50,48,True
15072,3,53,48,True
15120,0,48,48,True
15168,2,52,48,True
15216,2,52,48,True
15264,4,55,48,True
15312,1,50,48,True
15360,0,48,48,True
